"mz","intensity","rt"
187.0073,5958,264
187.0073,12254,278
187.0089,6967,1001
187.009,8210,926
187.0091,8928,924
187.0094,110619,928
187.0094,3592,46
187.0094,0,951
187.0095,0,936
187.0096,17062,932
187.0096,6472,882
187.0096,6686,134
187.0097,6509,815
187.0099,4557,927
187.04,4644,377
187.051,2755,107
187.0531,14168,253
187.0535,42204,348
187.0535,33833,202
187.0538,598163,242
187.0539,90573,300
187.0539,115545,232
187.0539,3430,332
187.0541,88172,317
187.0541,41586,49
187.0766,4033,100
187.097,11369,150
187.0972,182504,90
187.0973,7695,183
187.0974,6435,252
187.0974,13672,124
187.0974,440567,70
187.0975,123951,34
187.0976,124460,80
187.0976,18447,364
187.1027,5507,313
187.1069,3829,54
187.1116,17267,285
187.133,3820,172
187.1334,20147,285
187.1335,6048,165
187.1337,13571,303
187.1337,56886,174
187.1338,26455,177
187.1338,9813,140
187.1645,14379,241
187.2697,3424,241
187.5551,3160,241
187.5556,7175,315
187.5557,4247,352
188.0021,3089,37
188.0353,10104,48
188.0442,20760,214
188.0463,3220,377
188.0526,4855,315
188.0528,3017,352
188.053,7495,241
188.1011,6692,74
188.1374,3943,174
188.9508,8279,76
188.969,0,376
188.9691,0,534
188.9691,0,251
188.9699,3589,551
188.9702,2580,404
188.9703,4412,478
188.9706,35068,890
188.9707,0,583
188.9707,57623,137
188.9707,36766,923
188.9707,0,965
188.9708,11615,81
188.9708,38049,1012
188.9709,10313,120
188.9709,10641,5
188.9709,0,17
188.9709,33268,823
188.9709,0,603
188.971,6339,63
188.9711,3425,559
188.9711,22428,46
188.9711,28992,41
188.9711,65802,93
188.9712,9681,158
188.9713,21895,27
188.9714,3301,575
188.9714,7431,472
188.9714,4377,493
188.9714,12160,20
188.9715,839415,941
188.9715,0,12
188.9715,17908,30
188.9715,22071,23
188.9716,0,350
188.9716,31477,52
188.9717,3735,529
188.9717,4704,515
188.9718,49163,33
188.9718,3111,614
188.9719,8608,9
188.972,9205,267
188.9722,56286,180
188.9723,0,149
188.9723,5051,434
188.9723,6602,347
188.9723,0,566
188.9724,7167,355
188.9725,5023,442
188.9727,3160,429
188.9731,0,499
188.9733,0,423
188.9734,0,320
188.9735,0,496
188.9736,4365,333
188.9737,3445,570
188.9737,5014,461
188.9782,12229,221
188.984,10631,248
188.9846,3085,205
188.986,3600,54
188.9861,169394,270
188.9861,258836,296
188.9868,177887,264
188.9869,278079,277
189.0552,12840,225
189.0592,3762,362
189.0913,4374,390
189.0961,2769,296
189.0967,4386,279
189.1128,3420,30
189.113,45403,108
189.1131,49792,128
189.1132,5280,150
189.128,5227,157
189.1284,7972,191
189.1285,4354,381
189.981,68049,160
189.981,64131,174
189.9811,8400,185
189.9822,4027,40
189.9929,10100,240
189.9935,19594,218
189.9953,3434,255
190.0146,9844,37
190.0262,4040,519
190.0504,27336,51
190.0505,8007,173
190.0506,5673,170
190.0506,5644,247
190.0507,195917,115
190.0509,201431,140
190.0515,49549,163
190.0518,43532,221
190.0998,4973,415
190.1227,4764,190
190.1229,4878,709
190.1231,3404,684
190.1233,17532,139
190.9844,3049,174
191.0193,4135,909
191.0194,9611,84
191.0197,1271724,41
191.071,7121,111
191.107,2699,415
191.1072,3049,301
191.1072,3358,380
191.1306,30447,54
191.2364,16028,57
192.0121,3591,189
192.0293,92702,57
192.0296,17616,38
192.0299,143078,44
192.042,29450,240
192.0422,575423,271
192.0425,8885,148
192.0425,22848,259
192.0428,51447,125
192.0429,13375,189
192.0654,5755,109
192.0658,5176,50
192.066,4406,72
192.1153,3852,263
192.1153,20195,377
192.116,136835,410
192.139,28916,181
192.1392,53498,128
192.1553,11718,272
